"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,2,610715,38,4191,"transformer_block/train_step",3,440141175756919,440141175925080,131072,0,120,384,112,256,1,1,229376,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,39,4191,"transformer_block/train_step",3,440141175925080,440141176084921,131072,0,120,384,112,256,1,1,229376,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,40,63,"transformer_block/train_step",3,440141176084921,440141176250042,0,0,36,4,32,256,1,1,14680064,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,41,63,"transformer_block/train_step",3,440141176250042,440141176436724,0,0,36,4,32,256,1,1,14680064,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,42,64,"transformer_block/train_step",3,440141176436724,440141176628965,0,0,36,4,32,256,1,1,14680064,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,43,1872,"transformer_block/train_step",3,440141176628965,440141176741206,115712,0,48,256,96,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,44,65,"transformer_block/train_step",3,440141176741206,440141177305251,0,312,128,128,48,512,1,1,2097152,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,45,4584,"transformer_block/train_step",3,440141177305251,440141177380411,24576,0,128,256,96,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,46,5193,"transformer_block/train_step",3,440141177380411,440141177447012,51200,0,128,256,96,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,47,66,"transformer_block/train_step",3,440141177447012,440141177454372,8192,0,44,4,16,256,1,1,131072,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,48,67,"transformer_block/train_step",3,440141177454372,440141177462372,8192,0,32,0,16,256,1,1,524288,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,49,68,"transformer_block/train_step",3,440141177462372,440141177473332,0,0,20,4,32,256,1,1,2097152,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,50,5684,"transformer_block/train_step",3,440141177473332,440141177555013,125952,0,128,320,96,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,51,69,"transformer_block/train_step",3,440141177555013,440141177578253,0,0,44,4,48,256,1,1,1048576,1,1
"KERNEL_DISPATCH","Agent 2",1,2,610715,52,70,"transformer_block/train_step",3,440141177578253,440141177620333,0,0,32,0,32,256,1,1,4194304,1,1
