"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MARKER_API",4,4534308,1133577.000000,51.16,450,4528718,2263427.885318
"KERNEL_DISPATCH",52,4328394,83238.346154,48.84,3760,571724,108189.743017
